industry_hash_id	code_source	code_	description_	version_	start_date	end_date	created_by	create_date	modified_by	modified_date
8cece1b374a34a5c2cd88f5304f53526	NASIC	611210	Junior Colleges 	current	2024-12-19		kds_adm	2024-12-19		
181c4e9a9c170b87a31ff4f992c721e5	NASIC	611110	Elementary and Secondary Schools 	current	2024-12-19		kds_adm	2024-12-19		
c3b800d97b746e198f6aae1c68f378a1	NASIC	562998	All Other Miscellaneous Waste Management Services 	current	2024-12-19		kds_adm	2024-12-19		
fe8b0cf45ca7c126f2404cc94befcbe8	NASIC	562991	Septic Tank and Related Services 	current	2024-12-19		kds_adm	2024-12-19		
057a1e6d77a8baa442d532459e0898dc	NASIC	562920	Materials Recovery Facilities 	current	2024-12-19		kds_adm	2024-12-19		
f9266f976ece765692335a90259e98d1	NASIC	562910	Remediation Services 	current	2024-12-19		kds_adm	2024-12-19		
623f771c13b6bdde600c5c14bb6aa87e	NASIC	562219	Other Nonhazardous Waste Treatment and Disposal 	current	2024-12-19		kds_adm	2024-12-19		
476019bcb649ab0b6c7453b382c9c52b	NASIC	562213	Solid Waste Combustors and Incinerators 	current	2024-12-19		kds_adm	2024-12-19		
4c345cbd682596e160df587cbb540da5	NASIC	562212	Solid Waste Landfill 	current	2024-12-19		kds_adm	2024-12-19		
b211535c9be68d513101e5a8626949ee	NASIC	562211	Hazardous Waste Treatment and Disposal 	current	2024-12-19		kds_adm	2024-12-19		
6611355761f38c4159697e807526b05f	NASIC	562119	Other Waste Collection 	current	2024-12-19		kds_adm	2024-12-19		
6920a157d605ee6edd7a0ad851b6bacb	NASIC	562112	Hazardous Waste Collection 	current	2024-12-19		kds_adm	2024-12-19		
d780a2c902278d8bfb5ad5126eaf127f	NASIC	562111	Solid Waste Collection 	current	2024-12-19		kds_adm	2024-12-19		
36597dfb1b773b4ecb9f7f826799871b	NASIC	561990	All Other Support Services	current	2024-12-19		kds_adm	2024-12-19		
634df392d51d25657851a70fe9c976ac	NASIC	561920	Convention and Trade Show Organizers	current	2024-12-19		kds_adm	2024-12-19		
b9edb493497534ccb7af207756cdb8a6	NASIC	561910	Packaging and Labeling Services	current	2024-12-19		kds_adm	2024-12-19		
cb85c5c364e594164f7e40da95dab867	NASIC	561790	Other Services to Buildings and Dwellings 	current	2024-12-19		kds_adm	2024-12-19		
14dc78c6cb6637d8135ec38d932c0cfc	NASIC	561740	Carpet and Upholstery Cleaning Services	current	2024-12-19		kds_adm	2024-12-19		
41557de8adac753be4c6443f743d3151	NASIC	561730	Landscaping Services	current	2024-12-19		kds_adm	2024-12-19		
d932cc32c23e78a65610855c7b90046f	NASIC	561720	Janitorial Services 	current	2024-12-19		kds_adm	2024-12-19		
a5bcdbe488cd2688d822acdd4da10429	NASIC	561710	Exterminating and Pest Control Services	current	2024-12-19		kds_adm	2024-12-19		
44ec905afea2b9625eddd96f39652c80	NASIC	561622	Locksmiths 	current	2024-12-19		kds_adm	2024-12-19		
5990307e558b5ae4338fe8ae2920babb	NASIC	561621	Security Systems Services (except Locksmiths) 	current	2024-12-19		kds_adm	2024-12-19		
9e053bf340f7788bbeebcff0dfb059c5	NASIC	561613	Armored Car Services 	current	2024-12-19		kds_adm	2024-12-19		
374ad23a0b36c1f00ffa25b3d868c137	NASIC	561612	Security Guards and Patrol Services 	current	2024-12-19		kds_adm	2024-12-19		
04b85df00997f0ef8ebfd09987b01b8e	NASIC	561611	Investigation and Personal Background Check Services 	current	2024-12-19		kds_adm	2024-12-19		
9bf58ff150b47bb6136fe268f8088ead	NASIC	561599	All Other Travel Arrangement and Reservation Services 	current	2024-12-19		kds_adm	2024-12-19		
b9fbad4d2721f3598e50ae78e57d9ded	NASIC	561591	Convention and Visitors Bureaus 	current	2024-12-19		kds_adm	2024-12-19		
c5bd46e44a5dbc9173101f3b00f3302f	NASIC	561520	Tour Operators	current	2024-12-19		kds_adm	2024-12-19		
5debc9772b5a12befb15df989c847f0a	NASIC	561510	Travel Agencies	current	2024-12-19		kds_adm	2024-12-19		
6a6065db3ffa6cc87c8852ca4b8a7d4f	NASIC	561499	All Other Business Support Services 	current	2024-12-19		kds_adm	2024-12-19		
c83fee97c054994d1547e3f44af9b4d2	NASIC	561492	Court Reporting and Stenotype Services 	current	2024-12-19		kds_adm	2024-12-19		
dff8d35fbe8d931912c18adb8650170d	NASIC	561491	Repossession Services 	current	2024-12-19		kds_adm	2024-12-19		
1224b0f22b03b6e4d3c6dbe76ff244ba	NASIC	561450	Credit Bureaus	current	2024-12-19		kds_adm	2024-12-19		
b1a0459183e50843a0b274da0dcd62ee	NASIC	561440	Collection Agencies	current	2024-12-19		kds_adm	2024-12-19		
